type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906944.357,0.00289,-0.07790,-0.00625,-0.01570,-1.57000,-0.05199,-0.00267,-0.01532,-0.00634,-1.79864,2,35.00000
1740906944.368,0.01342,-0.08869,-0.01860,-0.01570,0.00000,-0.06625,-0.02704,-0.01550,0.00837,-2.35482,2,47.00000
1740906944.377,0.02311,-0.09463,-0.00501,-0.01570,0.00000,-0.07699,0.02763,-0.01767,-0.63994,-2.66038,2,53.00000
1740906944.388,0.03364,-0.09844,0.00479,-0.01570,0.00000,-0.08853,0.08933,-0.02485,-1.44254,-3.01367,2,60.00000
1740906944.399,0.04533,-0.10054,0.00710,-0.01570,0.00000,-0.10181,0.14431,-0.03744,-2.28758,-3.30000,2,66.00000
1740906944.409,0.05464,-0.10784,0.06790,-0.01570,0.00000,-0.11430,0.20680,-0.05536,-3.18288,-3.30000,2,66.00000
1740906944.419,0.06494,-0.10341,0.15064,-0.04710,-3.14000,-0.12238,0.28019,-0.08417,-4.13951,-3.30000,2,66.00000
1740906944.431,0.07647,-0.09231,0.28103,-0.07850,-3.14000,-0.12458,0.35768,-0.12150,-5.02859,-3.30000,2,66.00000
1740906944.440,0.08610,-0.09677,0.24129,-0.10990,-3.14000,-0.13279,0.40346,-0.16501,-5.82920,-3.30000,2,66.00000
1740906944.451,0.09642,-0.09597,0.92750,-0.15700,-4.71000,-0.10734,0.56236,-0.21696,-6.63127,-3.21939,2,64.00000
1740906944.462,0.10815,-0.07178,1.01776,-0.21980,-6.28000,-0.08493,0.70986,-0.27727,-7.39038,-2.08822,2,41.00000
1740906944.472,0.11829,-0.06568,0.81874,-0.26690,-4.71000,-0.07918,0.78677,-0.34057,-8.01119,-1.76890,2,35.00000
1740906944.482,0.12799,-0.05895,0.94300,-0.29830,-3.14000,-0.06935,0.81296,-0.40203,-8.12720,-1.38445,2,27.00000
1740906944.493,0.13875,-0.06100,0.91459,-0.36110,-6.28000,-0.06103,0.81722,-0.46448,-8.12860,-1.11199,2,22.00000
1740906944.504,0.15020,-0.05333,0.81379,-0.39250,-3.14000,-0.05688,0.78394,-0.52080,-7.92986,-1.07812,2,21.00000
1740906944.514,0.15989,-0.05305,0.69117,-0.43960,-4.71000,-0.05560,0.72591,-0.57374,-7.63517,-1.21884,2,24.00000
