type,LQR
Q,10,10,1,1
R,1
Eigenvalue,0.6515+0j,0.990164+0j,0.943999+0.0121003j,0.943999+-0.0121003j
Gain,94.0521,15.2469,0.781273,1.22702
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740907623.051,0.00260,-0.08870,0.00046,0.00000,0.00000,-0.06129,0.00027,0.00000,0.00000,-3.30000,2,66.00000
1740907623.062,0.01377,-0.08271,0.01971,0.00000,0.00000,-0.06685,-0.01025,0.00004,0.01408,-3.30000,2,66.00000
1740907623.072,0.02345,-0.09651,-0.02129,0.00000,0.00000,-0.08897,0.08892,-0.00387,-1.18395,-3.30000,2,66.00000
1740907623.082,0.03410,-0.11827,0.21370,-0.01570,-1.57000,-0.09478,0.21742,-0.01991,-2.31645,-3.30000,2,66.00000
1740907623.094,0.04567,-0.09820,0.26247,-0.04710,-3.14000,-0.10006,0.32027,-0.04811,-3.38269,-3.30000,2,66.00000
1740907623.103,0.05512,-0.12611,0.34651,-0.07850,-3.14000,-0.10765,0.40715,-0.08516,-4.37091,-3.30000,2,66.00000
1740907623.114,0.06548,-0.12753,1.00691,-0.14130,-6.28000,-0.06501,0.62590,-0.13587,-5.39306,-3.30000,2,66.00000
1740907623.126,0.07794,-0.07999,1.05572,-0.18840,-4.71000,-0.03633,0.80777,-0.19375,-6.32089,1.16157,1,23.00000
1740907623.135,0.08650,-0.07628,0.82877,-0.25120,-6.28000,-0.03774,0.89555,-0.25928,-7.14810,1.30190,1,26.00000
1740907623.146,0.09740,-0.06600,0.83752,-0.29830,-4.71000,-0.02698,0.76701,-0.32188,-6.25711,1.39809,1,27.00000
1740907623.156,0.10778,-0.06483,0.66407,-0.36110,-6.28000,-0.02040,0.63246,-0.37725,-5.38253,0.99490,1,19.00000
1740907623.166,0.11834,-0.06781,0.57216,-0.39250,-3.14000,-0.01361,0.50810,-0.42132,-4.49855,0.78810,1,15.00000
1740907623.178,0.12974,-0.07256,0.57256,-0.43960,-4.71000,-0.00298,0.43575,-0.45980,-3.85102,1.44884,1,28.00000
1740907623.190,0.14142,-0.06645,0.50705,-0.48670,-4.71000,0.00623,0.38228,-0.49473,-3.34073,2.09887,1,41.00000
1740907623.198,0.15026,-0.06228,0.51119,-0.51810,-3.14000,0.01844,0.31608,-0.52396,-2.62551,3.09257,1,61.00000
1740907623.210,0.16145,-0.05121,0.47320,-0.54950,-3.14000,0.03187,0.23507,-0.54690,-1.73431,3.30000,1,66.00000
1740907623.221,0.17275,-0.04752,0.35125,-0.58090,-3.14000,0.04377,0.11204,-0.56248,-0.55579,3.30000,1,66.00000
1740907623.229,0.18073,-0.04916,0.25109,-0.61230,-3.14000,0.05463,-0.00386,-0.57074,0.58766,3.30000,1,66.00000
1740907623.240,0.19217,-0.04774,0.18489,-0.62800,-1.57000,0.06508,-0.09988,-0.57078,1.63738,3.30000,1,66.00000
1740907623.252,0.20374,-0.04471,0.11535,-0.62800,0.00000,0.07442,-0.18142,-0.56210,2.61265,3.30000,1,66.00000
1740907623.262,0.21359,-0.01716,-0.15301,-0.61230,1.57000,0.07603,-0.28480,-0.54383,3.54932,3.30000,1,66.00000
1740907623.272,0.22432,-0.01742,-1.31058,-0.54950,6.28000,0.04222,-0.56077,-0.50864,4.59354,0.82951,1,16.00000
1740907623.285,0.23641,-0.04064,-0.93688,-0.50240,4.70999,0.02721,-0.73062,-0.46443,5.51513,-2.34571,2,46.00000
1740907623.293,0.24470,-0.04461,-0.59014,-0.45530,4.71000,0.02291,-0.69903,-0.41672,5.42653,-2.34062,2,46.00000
1740907623.303,0.25523,-0.04633,-0.33726,-0.42390,3.14000,0.02098,-0.48527,-0.37739,4.14186,-0.80812,2,16.00000
1740907623.316,0.26736,-0.04150,-0.45852,-0.39250,3.14000,0.01204,-0.33469,-0.34914,2.97466,-0.76377,2,15.00000
1740907623.325,0.27717,-0.04004,-0.48227,-0.36110,3.14000,0.00235,-0.29458,-0.32737,2.47244,-1.66288,2,33.00000
